主体,年代
"Oh,_Changbai_Mountain!",dated 1961
One_Thousand_Mountains_Vying_for_Beauty,dated 1963
Myriad_Green_Mountains,dated 1982
Peony,dated 1862
Viewing_the_Tide,2008
Washing_a_Horse,dated 1943
Mountain_Dwelling,ca. 1940s
View_from_the_Prague_Castle,dated 1957
Poem_on_reclusion,dated 1663
The_Three_Gorges,ca. 1962
Gazing_at_a_Waterfall,datable to 1960s
Along_the_Road_to_Shanyin,dated 1947
Drinking_Together_on_a_Pine-Covered_Cliff,datable to 1925
The_First_Mountain_of_the_Long_March,dated 1965
Calligraphy,1950
Poem,undated
Rats_and_a_Lamp,1947
Landscape_in_the_Styles_of_Huang_Gongwang_and_Gao_Kegong,dated 1705
Lady_of_the_Xiang,1960
Autumn_Herd,1960s
Landscape_of_Mojie_Mountain,1965
Gazing_at_a_Red_Spider,1939
Gladioli,1960s
Landscape_dedicated_to_Xiang_Yuanbian,1578
Hermit-Fisherman_on_a_Spring_River,dated 1632
Red_Friend,17th century
Ink_Prunus,未知年代
Bodhisattva_Guanyin_in_the_Form_of_the_Buddha_Mother,dated 1620
Landscape,1587
Landscape,dated 1845
Lady_in_a_Bamboo_Grove_after_Qiu_Ying,未知年代
"The_Red_Cliff_Ode,_by_Su_Dongpo_(1036-1101)",17th century
Landscape_Painted_on_Paper_with_Black_Lacquer_Mount,ca. 1935
Two_Studies_of_Birds_on_a_Willow_and_Flowering_Plants,20th century
Bird_on_a_Blossoming_Branch_after_Qian_Xuan_(?),20th century
Flowering_Plant_after_Chen_Hongshou,20th century
Landscape,dated 1733
Duck_Market,ca. 1869
Chicks,20th century
Three_Autumns_in_One_Day_(Yiri_sanqiu),1940
Untitled,2001 (?)
Poem_Commemorating_an_Imperially_Bestowed_Feast,dated 1632
Reading_Daoist_Scriptures_by_a_Flowing_Stream,1835
Temptation_of_the_Land,2009
Landscape,1912
Flowers,1931
New_Classic_of_Mountains_and_Seas_I,2006
Colophons_to_Two_Paintings,First colophon datable to 1988
Landscapes,ca. 1690s
"The_Greatly_Merciful,_Greatly_Compassionate_Rescuer_from_Suffering,_Bodhisattva_Guanyin",dated 947
Poem_on_a_hermitage,late 16th century
Couplet_in_the_Style_of_the_Haotaiwang_Stele,dated 1974
Poetic_Couplet_for_Xiangru,Dated 1968
Bamboo_and_Cicada,dated 1966
Chirping_Bird,dated 1978
Couplet_Composed_from_Jiang_Kui's_Verses,dated 1917
Pensive_bodhisattvas,datable to 1942–43
Qu_Yuan_and_the_Fisherman,mid-17th century
Cloudy_Mountains,before 1200
Wrist_rest_decorated_with_long_beans,1935
Riverscape_with_moored_boats,late 17th or early 18th century
Spring_Offerings,dated 1919
Landscape_in_the_Style_of_Juran_and_Yan_Wengui,Dated 1713
Landscapes,1848
Gottwaldov,dated 1957
Song_of_Sixteen_Characters:_Poem_by_Mao_Zedong,dated 1958
Poet_Li_Bai,dated 1963
Huichang:_Poem_by_Mao_Zedong,dated 1958
Travelers_in_Snowy_Mountains,dated 1944
Sun_Yat-sen's_Mausoleum,dated 1965
"Green_Mountains_Like_the_Sea,_the_Dying_Sun_Like_Blood",dated 1964
Changsha:_Poetic_Thoughts_of_Mao_Zedong,dated 1965
The_Seven_Worthies_of_the_Bamboo_Grove,ca. 1940s
Dwelling_amid_Waters_and_Forests,dated 1932
Thatched_Hut_of_Great_Purity,dated 1945
Viewing_a_Waterfall_from_a_Mountain_Ridge,dated 1945
Approaching_Yanbian,dated 1961
After_Wang_Meng’s_“The_Sounds_of_a_Waterfall_amid_Autumn_Valleys”,dated 1933
Myriad_Bamboo_in_Mist_and_Rain,dated 1944
Playing_the_Ruan,dated 1945
The_Elixir_Terrace:_Landscape_after_Shitao,dated 1956
After_Mao_Zedong’s_Poem_“Swimming”,dated 1958
Mount_Jinggang,dated 1964
A_Majestic_View_of_the_Mountainous_City:_Chongqing,dated 1960
Mirror_Lake_and_Flying_Waterfall,dated 1962
Waterfall_at_Heavenly_Lake,dated 1961
Meticulously_Painting_Our_Rivers_and_Mountains,datable to the early 1960s
Guchengli,dated 1961
Water_Pavilion_in_an_Autumn_Forest,datable to 1925
Level_Sands_and_Descending_Geese,dated 1962
Recluse_Fishing_by_Autumn_Trees,dated 1350
The_Summit_of_the_Tatry_Mountains,dated 1957
Scuttling_Crab,dated 1919
Dreaming_of_Flowers,1807
Landscape,late 1940s
The_Daming_Palace,early 15th century
Fish_and_rocks,dated 1699
Letter,late 15th or early 16th century
Mountains_after_Rain,dated 1695
Thirty-six_Peaks_of_Mount_Huang_Recollected,ca. 1705
Spring_Mountain_after_Rain,dated 1929
The_Qutang_Gorge,dated 1944
Travelers_among_Streams_and_Mountains,probably 1670s
"Landscape_Sketches_of_Mt._Danxia,_Guangdong",Datable to 1963
Ink_bamboo,early 16th century
Birds_in_a_lotus_pond,ca. 1690
Misty_Rain_on_the_River_in_Spring,未知年代
Pavilion_amongst_Wintry_Trees_after_Ni_Zan,dated 1661
Landscape,early 20th century
Mynahs,未知年代
Two_Poems,未知年代
Spring_Garden_in_Bloom,未知年代
The_Immortal_Li_Tieguai,undated
Outing_to_Zhang_Gong's_Grotto,ca. 1700
Mist_and_Rain_in_Helin,1841
Recluse_Gazing_at_a_Waterfall,undated
Tao_Yuanming,1957
Poet_strolling_by_a_marshy_bank,early 13th century
Bathing_the_Horse,dated 1931
Drunken_recluse_beneath_an_old_tree,early 16th century
To_Guo_Moruo:_Poetic_Thoughts_of_Mao_Zedong,dated 1964
Autumn_Colors_among_Streams_and_Mountains,ca. 1490–1500
Mountain_Spirit,datable to 1945
A_Glance_from_the_Window,dated 1957
Portrait_of_the_Poet_Du_Fu,dated 1959
After_Mao_Zedong’s_“Saying_Goodbye_to_the_God_of_Disease_(II)”,dated 1958
Writings_in_Praise_of_a_Houseboat,ca. 1500
Spring_Colors_of_Zaoyuan,dated 1960
Heaven_and_Earth_Glow_Red,dated 1964
Spring_Radiance,dated 1945
Seven_Sages_of_the_Bamboo_Grove,dated 1947
Sea_of_Trees_by_the_Heavenly_Lake,dated 1961
Night_Rain_in_the_Mountains_of_Sichuan,ca. 1948
Viewing_a_Painting,dated 1943
Red_Cliff_Village,dated 1960
Snow:_Poetic_Thoughts_of_Mao_Zedong,dated 1959
Landscape,dated 1943
The_Three_Laughers_at_Tiger_Creek,dated 1945
Evening_Rain_in_the_Ba_Mountains,dated 1944
Mountain_Spirit,dated 1946
Mount_Yuntai,dated 1941
Drunken_Monk,dated 1944
Riding_a_Donkey_Beneath_Bamboo,datable to 1925
After_Mao_Zedong’s_“Saying_Goodbye_to_the_God_of_Disease_(I)”,dated 1958
Shaoshan,dated 1959
Walking_with_a_Staff_and_Carrying_a_Zither,datable to 1925
The_Poet_Qu_Yuan,dated 1942
Teapot_in_the_Shape_of_a_Plum_Blossom,early 17th century
Playing_the_Qin_and_Watching_Geese_in_Flight,dated 1948
A_Glimpse_of_the_Coal_Capital,dated 1961
Goddess_of_the_River_Xiang,dated 1947
Summer_retreat_in_the_eastern_grove,calligraphy datable to 1512
Letter_by_Yu_Shinan_(558-638),dated 1637
Two_Goats,dated 1914
Orchids,second quarter of the 13th century
Water_Buffalo_Under_a_Willow_Tree,late 1930s
Quatrain_on_spring’s_radiance,early 13th century
Poem_Written_after_Rain,未知年代
Garden_of_the_Inept_Administrator,1551
Poem,未知年代
Resting_under_a_Banyan_Tree,1947
"Rice_Culture,_or_Sowing_and_Reaping",before 1353
Wilderness_Colors,ca. 1700
Garden_scene,1867
Pine,dated 1923
Comfort_Post,20th century
Woman_in_a_garden,dated 1940
"Spring_Landscape_with_Plum_Blossoms,_Scholar_and_Deer",dated 1548
White_Chrysanthemums,dated 1654
Sunset_over_the_Plateaux_of_Southern_Shaanxi,dated 1972
"Notes_on_Painters,_Book_Excerpts_and_Bada_Shanren's_Chronology",20th century
Landscape_After_Wang_Meng,dated 1759
"The_Foundry,_from_a_group_of_Ten_Revolutionary_woodblock_prints_with_Folio_Cover_titled_Lu_Yi_Mu_Ke_Xuan_Ji",1944
Summer_Garden,ca. 1530
"Liu_Zhidan,_the_people's_leader,_from_a_group_of_Ten_Revolutionary_woodblock_prints_with_Folio_Cover_titled_Lu_Yi_Mu_Ke_Xuan_Ji",1943
"Ma_Xiwu_Mediating_a_Lawsuit,from_a_group_of_Ten_Revolutionary_woodblock_prints_with_Folio_Cover_titled_Lu_Yi_Mu_Ke_Xuan_Ji",1944
"Promoting_a_New_Method_of_Delivery,_from_a_group_of_Ten_Revolutionary_woodblock_prints_with_Folio_Cover_titled_Lu_Yi_Mu_Ke_Xuan_Ji",20th century
"When_the_Bullets_Run_Out,_from_a_group_of_Ten_Revolutionary_woodblock_prints_with_Folio_Cover_titled_Lu_Yi_Mu_Ke_Xuan_Ji",20th century
"The_Health_Cooperative,_from_a_group_of_Ten_Revolutionary_woodblock_prints_with_Folio_Cover_titled_Lu_Yi_Mu_Ke_Xuan_Ji",1944
"Inviting_the_Neighborhood_Elders_to_a_New_Year's_Party,_from_a_group_of_Ten_Revolutionary_woodcut_prints_with_Folio_Cover_titled_Lu_Yi_Mu_Ke_Xuan_Ji",1945
Complete_Wisdom,dated 1976
Calligraphy,dated 1801
Landscape,dated 1843
Morning_Glories_and_Gourds,20th century
"Mustard_Seed_Garden_Manual_of_Painting,_volumes_1–4",未知年代
Untitled,2002
The_Three_Gorges_Dam_Migration,2009
Calligraphy,dated 1803
Some_Actions_Which_Haven’t_Been_Defined_Yet_in_the_Revolution,2011
Two_figures_after_Qiu_Ying,1843
Hermitage_in_Mount_Lu,未知年代
Portrait_of_the_Immortal_Liu_Haixian,ca. 1930
Mountain_Pavillion_after_Rain,1898
Three_squirrels,1894
Ink_Tablet_Decorated_with_Five_Pines,late 19th–early 20th century
Fisherman's_Lodge_At_Mount_Xisai,ca. 1170
Landscapes_and_botanical_subjects,1788
Luohan_Meditating_in_a_Tree,1821
"Pots,_Rocks_and_Plants",1894
Landscape,1909
"Letter_to_the_artist’s_father-in-law,_Wu_Yu",datable to 1506–10
Flower_and_Toad,未知年代
Flying_celestial_(apsara),datable to 1942–43
Landscapes_and_Flowers,dated 1745
Hands_and_donor_figure,datable to 1942–43
Goddess_of_the_Xiang_River,dated 1953
Poem_by_Wang_Wei_in_the_Style_of_Mi_Fu,probably ca. 1611
Miniature_landscapes,datable to 1751–54
Myriad_Bamboo_in_Mist_and_Rain,dated 1944
Plum_blossoms,inscription dated 1963
"Paintings_after_Shitao's_""Wilderness_Colors""",ca. 1930
Woman_in_a_garden,dated 1876
Landscape,mid-17th century
Spring_Mountains_over_Warm_Greenery,dated 1630
Eight_views_of_the_Yellow_Mountains,1681
Viewing_plum_blossoms_by_moonlight,early 13th century
Landscapes_after_old_masters,datable to 1638 or 1650
Wandering_in_a_Cloud-Filled_Valley,late 1940s or early 1950s
Calligraphy,未知年代
Spiritual_Stone,dated 1858
Landscape_with_figure,1635
Landscape,dated 1900
Reclusive_Wood-cutter,dated 1910
Listening_to_the_Stream,dated 1900
Monk_[Li_Shutong],early 20th century
Crows,dated 1923
Landscape,dated 1953
Landscape,dated 1934
Landscape,dated 1887
Bodhidharma_Facing_the_Rock_Wall,dated 1924
Plum,dated 1939
"Orchids,_Spider,_and_Rock",dated 1934
Grapes,dated 1940
Mandarin_Ducks,dated 1953
Immortal,dated 1932
Poems,1545
Cloud_Rock,16th–mid-17th century
Fishes,dated 1941
Windblown_Orchids,20th century
Cats,dated 1937
Landscape,20th century
Lotus,dated 1957
Landscape,early 20th century
Landscape,early 20th century
Landscape,20th century
Horse,dated 1931
On_Qiao_Hong,dated 1957
Landscape,dated 1941
Lotus,20th century
Arhat,dated 1911
Poem,dated 1945
Song_dynasty_Poems,20th century
Landscape,dated 1930
Poems,20th century
Landscape,dated 1924
Flower,after 1958
Landscape,dated 1961
Geese,20th century
Zhong_Kui,20th century
Snowscape,20th century
Landscape,dated 1920
Watermelon,dated 1963
Landscape,20th century
Midnight_Visitor,dated 1932
Herbaceous_Peony,datable to 1976
Landscape,20th century
Magpie,20th century
Shrimp,dated 1978
Crab,20th century
Chrysanthemums,dated 1947
Lotus,20th century
Landscape,dated 1939
Narcissus,dated 1979
Magnolia,dated 1926
Horse,20th century
Kid_Suckling,20th century
Landscape,dated 1942
Landscape,20th century
Plum_Blossoms,20th century
A_Painter,dated 1979
Landscape,dated 1981
Liu_Lan,2003
Letter_by_Li_Zhi,dated 1702
Grapes,dated 1980
Birds,dated 1979
Ink_Meditation,2005
Chanting_Hermit,dated 1945
Peaks_near_the_Cloud_Boat_residence,1695
Map_of_China,2006
Han_Jar_Overpainted_with_Coca-Cola_Logo,1995
"Butterflies,_Bird,_Lotus,_and_Rock,_after_Chen_Hongshou",Datable to the 1930s
"Rock,_Bamboo,_and_Bird_on_a_Branch,_after_Chen_Hongshou",Datable to the 1930s
Landscape_Sketches,20th century
Boats_and_Figures,Datable to the 1930s
"Camellia,_Rock,_and_Butterfly,_after_Chen_Hongshou",Datable to the 1930s
Sketch_of_a_Child,Datable to the 1930s
Orchids,ca. 1930s
Landscape_in_the_Style_of_Dong_Qichang,undated
Scholar_viewing_a_waterfall,early 13th century
Cat,未知年代
Landscape,未知年代
Sailing_in_Autumn,dated 1893
Chrysanthemum,dated 1956
Studying_a_painting,16th century
Dish_with_Gardenia,late 16th century
Misty_Bamboo_on_a_Distant_Mountain,dated 1753
Dish_of_Iced_Summer_Fruit,dated 1945
Comb_top,8th–9th century
Boating_beneath_Echo_Hill,datable to 1673
Fruit,dated 1945
"Two_Prose_Poems:""Mt._Tiantai""_and_""Parrot""",1610
Searching_the_Mountains_for_Demons,17th century
"Recluse_Fisherman,_Autumn_Trees",dated 1349
Rustic_Studio_amid_the_Pines,"20th century, undated"
Landscape,dated 1788
Autumn_landscape_with_egrets_and_ducks,late 15th century
Bamboo_and_poem,early 17th century
Wenshu_Temple_at_Mount_Huang,"20th century, undated"
Farewell_by_a_Stream_on_a_Clear_Day,second half 14th century
Composing_Poetry_in_a_Garden,"20th century, undated"
Ink_Tablet_with_Dragon_and_Phoenix_Deign,late 19th–early 20th century
Grasshopper_on_Rock,15th century
Pair_of_Seals,ca. 2001
Poetry_Manuscript,"undated, 20th century"
Blossoming_Prunus_Tree,mid-19th century
Horse_and_rider,7th–8th century
Evening_in_the_Wine_Shop,1930s and 1940s
"West_Lake,_Hangzhou",20th century
"West_Lake,_Hangzhou:_Architecture",20th century
Manuscript_in_Seal_Script,"undated, 20th century"
[Opium_Smokers],1870s
Hangzhou_Scenery,20th century
Promontory_with_Temple,Datable to the 1930s
Poem_in_Cursive_Script,ca. 1622–25
Landscapes,1793
Poems_dedicated_to_Shen_Shiyou,1650
Sparse_trees_and_pavilion,late 1350s
Eight_Poems_on_Autumn_Moods,1632
Eight_poems,undated
Peach_Blossom_Spring,Undated
Poem,1758
Instructions_on_Painting_Plum_Blossoms,undated
Pomegranates,1947
Landscapes_Painted_for_Yuweng,dated 1673
Beautiful_Dream_7,2008
First_Ode_on_the_Red_Cliff_in_the_Style_of_Zhu_Yunming_(1461–1527),dated 1976
"""Splashed-color""_landscape",1965
"Shanghai,_China,_15–16_October_2004",2004
Mandarin_orange,undated
Wrist_rest_decorated_with_landscape,1923
Folding_fan_with_bamboo_frame_carved_with_spider_and_bamboos,1960
Portrait_of_a_gentleman_gathering_chrysanthemums,dated 1791
Pensive_Scholar,1947
Landscapes_of_Taiping_Prefecture,ca. 1650
Reading_under_a_Tree_in_Autumn,dated 1689
Beautiful_Dream_2,2008
The_Wave,2005
Shrimp_and_Fish,dated 1936
Folding_fan_with_bamboo_frame_carved_with_tree_peonies_and_fingered_citrons,1949
"Bamboo_and_Mantis,_Leaf_from_the_Mustard_Seed_Garden_Painting_Manual,_part_3",ca. 1701
Beautiful_Dream_3,2008
Beautiful_Dream_4,2008
Untitled,1996
The_Five_Nobilities,mid-20th century
Lady_reading_a_scroll,1947
Poems_for_Jingzhai_Presented_upon_his_Triumphant_Return_from_Pacifying_Taiwan,1788
Lotus_Studies,ca. 1950s
669,2006
After_Wang_Xianzhi's_(344–385)_Foxglove_Broth_Letter,dated 1567
Simple_Retreat,ca. 1370
Peaches_and_Buddha's_Hand,dated 1955
The_Yellow_Mountains_(Huangshan),1980
Bird_on_a_Rock_by_a_Flowering_Branch,dated 1879
Studio_by_the_Water,dated 1921
Quatrain_on_Heavenly_Mountain,after 1162
Calligraphy,未知年代
Viewing_Antiquities_at_the_Studio_of_Humility,dated 1931
Buddha_of_Longevity,dated 1917
Angling_in_the_Autumn_River,ca. 1370
Desert_Terraces,1993
Peonies,dated 1870
Landscape,dated 1894
Jinshan_Temple,dated 1924
Landscape,dated 1901
Landscape,dated 1894
Chrysanthemum,dated 1913
Landscape,dated 1921
Herd-boys_and_Buffalo,dated 1907
Willow,dated 1895
Bamboo_and_Rock,dated 1945
Wintry_plum,14th century
Landscapes_after_old_masters,dated 1630
Chrysanthemums,20th century
Landscape,dated 1948
Lofty_Mood_in_the_Pine_Forest,dated 1928
Landscape,early 17th century
Landscape_in_the_Style_of_Shen_Zhou,1776
Landscape_with_great_pine,second quarter 13th century
Female_Immortal,20th century
Plum_and_Rock,dated 1946
Poem,1553
Peony,Dated 1947
Landscape,dated 1931
Horse_under_a_Pine,dated 1926
Landscape,20th century
Kingfisher_and_Lotus,20th century
Children_Enjoying_the_Water,dated 1933
Five_Shrimp,Dated 1947
A_Colophon_by_Huang_Tingjian,dated 1929
Mynah_on_a_Branch,Dated 1941
Su_Dongpo's_Long_Poem,20th century
"Begonias,_Butterfly_and_Grasshopper",Dated 1947
On_Zhu_Yuanzhang's_Portrait,20th century
Fisherman_on_the_Misty_River,dated 1942
Finger-painted_Landscape,dated 1962
Two_Poems_of_the_Song,dated 1963
On_the_Calligraphy_of_Wang_Xizhi_and_Wang_Xianzhi,20th century
Exercising_the_Horse,20th century
Poem_on_the_Wanderings_of_an_Immortal,dated 1944
Drinking_in_Moonlight,dated 1943
Poem_on_Mt._Wugong,20th century
Anecdote_from_the_Life_of_Wang_Xizhi,20th century
Pavilion_in_the_Mountains_of_the_Immortals,dated 1943
Visiting_Mr._Tai_on_a_Snowy_Night,20th century
Wu_Zhen's_Poem_on_a_Pine_and_Waterfall,20th century
Drinking_Together_in_the_Snowy_Night,dated 1925
Two_Horses,dated 1927
Visiting_the_Red_Cliff,dated 1942
Reading_in_the_Autumn_Mountains,dated 1923
Wisteria_and_Bamboo,20th century
Pavilion_with_Bamboo_and_Trees_by_the_Stream,20th century
Night-view_in_the_Mountains,dated 1932
Vegetables_and_Grasshopper,dated 1979
Crane_under_the_Willow,dated 1959
Plum_and_Rock,dated 1978
Landscape_in_Cursive-script_Technique,dated 1925
Flowers_and_Bird,dated 1946
Red_Plum,20th century
Tablepine_on_Yellow_Mountain,dated 1938
Horses_at_Pasture,dated 1946
Two_Cats,20th century
Autumn_in_Huangshan,20th century
Pine_in_the_misty_Mountains,dated 1978
Mountains_in_Cloud_and_Mist,dated 1961
East-crossing_to_Japan,dated 1978
Broken-ink_Landscape,dated 1978
Cries_of_Gibbons_by_the_Waterfall,20th century
Squirrel_and_Grape,dated 1946
Cat_and_Goldfish,dated 1978
Magpie,20th century
Wisteria_and_Goldfish,20th century
Yellow_Mountain,20th century
View_of_Mt._Omei,dated 1978
Clear_Stream_in_the_Mountains,20th century
A_Bit_of_Coolness,dated 1980
Horses_in_the_Autumn_Forest,20th century
The_True_Story_of_Ah_Q,1978–80
Song_of_One_Year,dated 1522
Girl_and_Roosters,dated 1963
Poem_by_Chao_Wujiu,dated 1932
Landscape,20th century
Scholar_in_Landscape,1894
Mahasthamaprapta_Bodhisattva,late 17th–early 18th century
Wrist_rest_decorated_with_long_beans,1925
Wrist_rest_decorated_with_an_ear_of_corn_and_ladybug,1924
Listening_to_the_Zither_Among_Streams_and_Pines,未知年代
Wrist_rest_decorated_with_gourds,1922
"Wrist_rest_decorated_with_geese,_sparrows,_bamboo,_and_rock",1945
Portrait_of_a_Man,19th century
Yangzi_River_Gorge,1947
"[Group_Portrait_near_Fangguangyan_Monastery,_Fujian]",ca. 1869
Cinnabar_Chamber_Deep_in_the_Mountains,dated 1656
Reminiscence_of_Jinling,1686
"Divine_Light_Series_No._59,_The_Floating_Incomplete_Circle",1998
Song_of_the_Lute,1585
"100_Layers_of_Ink,_No.1",1994
View_of_Tide,2008
Being_Open_and_Empty,2005
Mountain_Scenery_with_Streams_and_Pavilions_in_the_Style_of_Fan_Kuan,1667
Mythos_of_Lost_Dynasties_Series—I_Evaluate_Characters_Written_by_Three_Men_and_Three_Women,1985
Ink_Handscroll,1990
"100_Layers_of_Ink,_No.2",1994
"100_Layers_of_Ink,_No.3",1994
Urban_Fiction_No._13,2005
Transcription_of_Three_of_Cao_Tang’s_“Smaller_Wandering_Immortal_Poems”,1686
Cloudy_mountains,1684
Portrait_of_Luzhu,1823
Copy_of_Zhang_Xu's_Cursive_Calligraphy_of_Four_Ancient_Poems,Datable to 1969–70
"Crane,_pine,_and_rock",late 19th century
Landscape_after_Hua_Yan,1843
Spring_Breeze_of_Myriad_Pasts,mid-15th century
Three_Visits_to_the_Thatched_Hut_of_Zhuge_Liange,1853
Fisherman_viewing_the_moon,ca. 1600
The_Progress_of_Village_Wen,2016
Landscape_Painted_on_the_Double_Ninth_Festival,dated 1705
Inn_and_Travelers_in_Snowy_Mountains,1745
Woman_lost_in_thought_beneath_a_wutong_tree,late 19th or early 20th century
A_Temple_Stele_for_Zhou_the_Daoist_of_the_Song_Dynasty,dated 1895
Zhou_Dunyi_admiring_lotus_flowers,late 19th century
Poem_on_growing_old,16th century
Palaces_of_the_Immortals,dated 1753
Fragrant_Mountains,未知年代
Crows_in_Old_Trees,early 14th century
Landscapes_and_poems,early 17th century
The_Yellow_Pavilion,ca.  1350
Cloudy_Mountains,ca. 1360–70
Couplet_on_Water_and_Flowers,dated 1972
Shaded_Dwellings_among_Streams_and_Mountains,ca. 1622–25
Couplet_from_a_Poem_by_Han_Hong,1261
Li_Bai_gazing_at_the_waterfall_on_Mount_Lu,late 15th century
Scholar_in_the_Wind,ca. 1880
Lamp-lit_Pavilion_on_a_Rainy_Night,dated 1933
"The_""Heart""_Sutra_written_in_cursive_script",20th century
Ink_Tablet_with_Two_Phoenixes_Design,late 19th–early 20th century
Magnolia_and_Bees,ca. 1700–50
Poem_for_Hanwen,dated 1493
Landscapes,未知年代
Landscapes_in_the_styles_of_ancient_masters,17th century
Landscape_album,dated 1699
Calligraphy,late 17th century
